,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-27,17:36:20.127,2.00,1.49,100.00,0.00,0.00,1197067059,0.00,-1,-1,1197067059,0.00,-1,-1,1197067081,0.00,-1,-1,1197067081,0.00,-1,-1,1197067329,0.00,-1,-1,1197067329,0.00,-1,-1,1197071329,0.00,-1,-1,1197071329,0.00,-1,-1,1196660630,100.00,-1,-1,1196660630,100.00,-1,-1,1196663300,100.00,-1,-1,1196663300,100.00,-1,-1,486016,29.66,29.75,45,248824,3.81,3.82,
2026-01-27,17:36:21.127,2.00,1.49,100.00,0.00,0.00,1197078615,0.00,-1,-1,1197078615,0.00,-1,-1,1197077586,0.00,-1,-1,1197077586,0.00,-1,-1,1197076162,0.00,-1,-1,1197076162,0.00,-1,-1,1197078432,0.00,-1,-1,1197078432,0.00,-1,-1,1196669304,100.00,-1,-1,1196669304,100.00,-1,-1,1196672541,100.00,-1,-1,1196672541,100.00,-1,-1,484063,29.54,29.60,46,249935,3.82,3.83,
2026-01-27,17:36:22.126,2.00,1.49,100.00,0.00,0.00,1197140163,0.00,-1,-1,1197140163,0.00,-1,-1,1197132633,0.00,-1,-1,1197132633,0.00,-1,-1,1197124631,0.00,-1,-1,1197124631,0.00,-1,-1,1197115295,0.00,-1,-1,1197115295,0.00,-1,-1,1196720307,100.00,-1,-1,1196720307,100.00,-1,-1,1196721507,100.00,-1,-1,1196721507,100.00,-1,-1,484601,29.58,29.64,45,250592,3.83,3.84,
2026-01-27,17:36:23.127,2.00,1.49,100.00,0.00,0.00,1198015947,0.00,-1,-1,1198015947,0.00,-1,-1,1198015970,0.00,-1,-1,1198015970,0.00,-1,-1,1198016238,0.00,-1,-1,1198016238,0.00,-1,-1,1198016554,0.00,-1,-1,1198016554,0.00,-1,-1,1197637067,100.00,-1,-1,1197637067,100.00,-1,-1,1197638481,100.00,-1,-1,1197638481,100.00,-1,-1,485092,29.61,29.67,46,249558,3.82,3.83,
2026-01-27,17:36:24.127,2.00,1.49,100.00,0.00,0.00,1197120809,0.00,-1,-1,1197120809,0.00,-1,-1,1197121006,0.00,-1,-1,1197121006,0.00,-1,-1,1197121504,0.00,-1,-1,1197121504,0.00,-1,-1,1197122006,0.00,-1,-1,1197122006,0.00,-1,-1,1196701185,100.00,-1,-1,1196701185,100.00,-1,-1,1196699661,100.00,-1,-1,1196699661,100.00,-1,-1,483641,29.52,29.58,46,247486,3.79,3.79,
2026-01-27,17:36:25.128,2.00,1.49,100.00,0.00,0.00,1198119658,0.00,-1,-1,1198119658,0.00,-1,-1,1198127268,0.00,-1,-1,1198127268,0.00,-1,-1,1198134600,0.00,-1,-1,1198134600,0.00,-1,-1,1198143814,0.00,-1,-1,1198143814,0.00,-1,-1,1197701173,100.00,-1,-1,1197701173,100.00,-1,-1,1197704286,100.00,-1,-1,1197704286,100.00,-1,-1,484024,29.54,29.60,45,247822,3.79,3.80,
2026-01-27,17:36:26.128,2.00,1.49,100.00,0.00,0.00,1196896605,0.00,-1,-1,1196896605,0.00,-1,-1,1196891354,0.00,-1,-1,1196891354,0.00,-1,-1,1196893449,0.00,-1,-1,1196893449,0.00,-1,-1,1196891204,0.00,-1,-1,1196891204,0.00,-1,-1,1196485945,100.00,-1,-1,1196485945,100.00,-1,-1,1196487462,100.00,-1,-1,1196487462,100.00,-1,-1,483580,29.52,29.60,46,247176,3.78,3.79,
2026-01-27,17:36:27.128,2.00,1.49,100.00,0.00,0.00,1196974503,0.00,-1,-1,1196974503,0.00,-1,-1,1196972011,0.00,-1,-1,1196972011,0.00,-1,-1,1196961834,0.00,-1,-1,1196961834,0.00,-1,-1,1196954142,0.00,-1,-1,1196954142,0.00,-1,-1,1196557833,100.00,-1,-1,1196557833,100.00,-1,-1,1196559072,100.00,-1,-1,1196559072,100.00,-1,-1,484023,29.54,29.60,46,246884,3.78,3.78,
2026-01-27,17:36:28.128,2.00,1.49,100.00,0.00,0.00,1197008328,0.00,-1,-1,1197008328,0.00,-1,-1,1197008679,0.00,-1,-1,1197008679,0.00,-1,-1,1197009279,0.00,-1,-1,1197009279,0.00,-1,-1,1197009394,0.00,-1,-1,1197009394,0.00,-1,-1,1196630160,100.00,-1,-1,1196630160,100.00,-1,-1,1196630733,100.00,-1,-1,1196630733,100.00,-1,-1,483885,29.53,29.62,45,247967,3.79,3.81,
2026-01-27,17:36:29.128,2.00,1.49,100.00,0.00,0.00,1196950428,0.00,-1,-1,1196950428,0.00,-1,-1,1196949812,0.00,-1,-1,1196949812,0.00,-1,-1,1196949204,0.00,-1,-1,1196949204,0.00,-1,-1,1196979695,0.00,-1,-1,1196979695,0.00,-1,-1,1196570190,100.00,-1,-1,1196570190,100.00,-1,-1,1196571423,100.00,-1,-1,1196571423,100.00,-1,-1,484988,29.60,29.66,45,246884,3.78,3.78,
2026-01-27,17:36:30.128,2.00,1.49,100.00,0.00,0.00,1197312837,0.00,-1,-1,1197312837,0.00,-1,-1,1197320248,0.00,-1,-1,1197320248,0.00,-1,-1,1197327714,0.00,-1,-1,1197327714,0.00,-1,-1,1197304395,0.00,-1,-1,1197304395,0.00,-1,-1,1196851538,100.00,-1,-1,1196851538,100.00,-1,-1,1196856006,100.00,-1,-1,1196856006,100.00,-1,-1,484131,29.55,29.61,46,246841,3.78,3.78,
2026-01-27,17:36:31.128,2.00,1.49,100.00,0.00,0.00,1198273167,0.00,-1,-1,1198273167,0.00,-1,-1,1198290650,0.00,-1,-1,1198290650,0.00,-1,-1,1198283571,0.00,-1,-1,1198283571,0.00,-1,-1,1198276539,0.00,-1,-1,1198276539,0.00,-1,-1,1197828148,100.00,-1,-1,1197828148,100.00,-1,-1,1197831094,100.00,-1,-1,1197831094,100.00,-1,-1,484440,29.57,29.63,46,247910,3.79,3.80,
2026-01-27,17:36:32.128,2.00,1.49,100.00,0.00,0.00,1196928336,0.00,-1,-1,1196928336,0.00,-1,-1,1196910091,0.00,-1,-1,1196910091,0.00,-1,-1,1196917440,0.00,-1,-1,1196917440,0.00,-1,-1,1196925273,0.00,-1,-1,1196925273,0.00,-1,-1,1196514020,100.00,-1,-1,1196514020,100.00,-1,-1,1196518275,100.00,-1,-1,1196518275,100.00,-1,-1,484692,29.58,29.64,45,246858,3.78,3.78,
2026-01-27,17:36:33.129,2.00,1.49,100.00,0.00,0.00,1198255530,0.00,-1,-1,1198255530,0.00,-1,-1,1198249296,0.00,-1,-1,1198249296,0.00,-1,-1,1198241703,0.00,-1,-1,1198241703,0.00,-1,-1,1198233640,0.00,-1,-1,1198233640,0.00,-1,-1,1197778423,100.00,-1,-1,1197778423,100.00,-1,-1,1197780177,100.00,-1,-1,1197780177,100.00,-1,-1,485118,29.61,29.67,46,245949,3.76,3.77,
2026-01-27,17:36:34.129,2.00,1.49,100.00,0.00,0.00,1196948214,0.00,-1,-1,1196948214,0.00,-1,-1,1196948295,0.00,-1,-1,1196948295,0.00,-1,-1,1196948295,0.00,-1,-1,1196948295,0.00,-1,-1,1196948282,0.00,-1,-1,1196948282,0.00,-1,-1,1196547205,100.00,-1,-1,1196547205,100.00,-1,-1,1196548279,100.00,-1,-1,1196548279,100.00,-1,-1,484503,29.57,29.63,45,246253,3.77,3.78,
2026-01-27,17:36:35.130,2.00,1.49,100.00,0.00,0.00,1198304409,0.00,-1,-1,1198304409,0.00,-1,-1,1198315881,0.00,-1,-1,1198315881,0.00,-1,-1,1198316307,0.00,-1,-1,1198316307,0.00,-1,-1,1198316319,0.00,-1,-1,1198316319,0.00,-1,-1,1197918618,100.00,-1,-1,1197918618,100.00,-1,-1,1197918963,100.00,-1,-1,1197918963,100.00,-1,-1,484769,29.59,29.65,45,245171,3.75,3.76,
2026-01-27,17:36:36.130,2.00,1.49,100.00,0.00,0.00,1196998203,0.00,-1,-1,1196998203,0.00,-1,-1,1196986371,0.00,-1,-1,1196986371,0.00,-1,-1,1196988683,0.00,-1,-1,1196988683,0.00,-1,-1,1196999293,0.00,-1,-1,1196999293,0.00,-1,-1,1196607567,100.00,-1,-1,1196607567,100.00,-1,-1,1196609640,100.00,-1,-1,1196609640,100.00,-1,-1,484513,29.57,29.63,45,247276,3.78,3.79,
